1,4
2,4
2,40
3,38
4,38
4,39
4,40
5,38
6,45
7,39
7,46
8,41
9,10
9,41
10,47
11,43
12,13
12,42
12,44
12,48
13,14
13,42
14,44
15,23
15,48
16,49
17,59
18,69
19,75
20,21
21,71
21,72
21,78
22,51
23,62
24,68
25,65
26,64
26,74
27,81
28,86
29,86
29,87
30,88
31,89
32,33
32,84
32,85
32,95
33,88
33,90
34,92
35,92
35,93
36,93
36,94
37,94
39,40
40,41
41,42
42,43
45,46
45,49
46,47
46,50
47,48
48,51
49,50
49,53
50,51
50,55
51,60
52,53
52,58
53,54
54,55
54,59
55,56
56,57
56,71
57,58
57,59
58,69
60,61
60,67
61,62
61,68
62,63
63,64
64,65
65,66
65,68
66,67
66,72
67,68
69,70
69,75
70,71
70,76
72,73
73,74
73,80
74,81
75,76
76,77
77,78
77,82
78,79
78,95
79,80
79,83
80,81
82,84
82,95
83,85
83,95
84,86
84,88
85,90
85,92
86,87
87,88
88,89
90,91
90,93
91,94
92,93
93,94
